,Diesel,Kerosene,Regular,Super,Town,date,super_normed_price
359,87.14,61.51,108.82,106.22,Homabay,2015-08-15,0.81438319405
360,87.56,61.93,109.2,106.63,Isebania,2015-08-15,0.817526642644
361,86.59,61.21,108.7,105.89,Isiolo,2015-08-15,0.81185310128
362,85.53,60.09,107.44,104.6,Kabarnet,2015-08-15,0.801962738634
363,83.78,58.41,106.16,103.08,Kajiado,2015-08-15,0.790308977996
364,85.55,59.91,107.38,104.62,Kakamega,2015-08-15,0.80211607759
365,86.15,60.58,107.99,105.22,Kapenguria,2015-08-15,0.806716246262
366,85.42,59.86,107.33,104.49,Kapsabet,2015-08-15,0.801119374377
367,85.96,60.33,107.75,105.03,Kericho,2015-08-15,0.805259526183
368,86.77,61.13,108.48,105.84,Keroka,2015-08-15,0.811469753891
369,84.59,59.21,106.89,103.89,Kerugoya,2015-08-15,0.796519205704
370,85.05,59.67,107.3,104.35,Kiganjo,2015-08-15,0.800046001687
